Customer_ID,Period,Rebate_Rate,Rebate_Amount,Rebate_Program_ID
C00001,2024-09-01,0.0483,20621.04,RP0001
C00001,2024-10-01,0.0483,19851.84,RP0001
C00001,2024-11-01,0.0483,18404.59,RP0001
C00001,2024-12-01,0.0483,20773.42,RP0001
C00001,2025-01-01,0.0483,20316.83,RP0001
C00001,2025-02-01,0.0483,17609.51,RP0001
C00001,2025-03-01,0.0483,19481.7,RP0001
C00001,2025-04-01,0.0483,26942.43,RP0001
C00001,2025-05-01,0.0483,26006.66,RP0001
C00001,2025-06-01,0.0483,21443.8,RP0001
C00001,2025-07-01,0.0483,26777.24,RP0001
C00001,2025-08-01,0.0483,22805.67,RP0001
C00001,2025-09-01,0.0483,24091.01,RP0001
C00001,2025-10-01,0.0483,17635.56,RP0001
C00001,2025-11-01,0.0483,20784.2,RP0001
C00001,2025-12-01,0.0483,20214.63,RP0001
C00001,2026-01-01,0.0483,17163.6,RP0001
C00001,2026-02-01,0.0483,20979.2,RP0001
C00001,2026-03-01,0.0483,20789.42,RP0001
C00001,2026-04-01,0.0483,17268.8,RP0001
C00001,2026-05-01,0.0483,22303.16,RP0001
C00001,2026-06-01,0.0483,21727.32,RP0001
C00001,2026-07-01,0.0483,26728.22,RP0001
C00001,2026-08-01,0.0483,13159.62,RP0001
C00002,2024-09-01,0.0502,8064.12,RP0002
C00002,2024-10-01,0.0502,8416.08,RP0002
C00002,2024-11-01,0.0502,5968.05,RP0002
C00002,2024-12-01,0.0502,8445.27,RP0002
C00002,2025-01-01,0.0502,6480.56,RP0002
C00002,2025-02-01,0.0502,7180.06,RP0002
C00002,2025-03-01,0.0502,7683.56,RP0002
C00002,2025-04-01,0.0502,9046.85,RP0002
C00002,2025-05-01,0.0502,8899.18,RP0002
C00002,2025-06-01,0.0502,11640.6,RP0002
C00002,2025-07-01,0.0502,10899.83,RP0002
C00002,2025-08-01,0.0502,8753.76,RP0002
C00002,2025-09-01,0.0502,5144.87,RP0002
C00002,2025-10-01,0.0502,7210.96,RP0002
C00002,2025-11-01,0.0502,11393.6,RP0002
C00002,2025-12-01,0.0502,8685.03,RP0002
C00002,2026-01-01,0.0502,8206.53,RP0002
C00002,2026-02-01,0.0502,8498.27,RP0002
C00002,2026-03-01,0.0502,7018.99,RP0002
C00002,2026-04-01,0.0502,5312.08,RP0002
C00002,2026-05-01,0.0502,5947.13,RP0002
C00002,2026-06-01,0.0502,15495.81,RP0002
C00002,2026-07-01,0.0502,12531.18,RP0002
C00002,2026-08-01,0.0502,5708.73,RP0002
C00003,2024-09-01,0.155,12444.19,RP0003
C00003,2024-10-01,0.155,1987.14,RP0003
C00003,2024-11-01,0.155,7611.28,RP0003
C00003,2024-12-01,0.155,9846.92,RP0003
C00003,2025-01-01,0.155,14039.5,RP0003
C00003,2025-02-01,0.155,14005.51,RP0003
C00003,2025-03-01,0.155,18435.08,RP0003
C00003,2025-04-01,0.155,5944.15,RP0003
C00003,2025-05-01,0.155,17126.04,RP0003
C00003,2025-06-01,0.155,12302.6,RP0003
C00003,2025-07-01,0.155,4710.13,RP0003
C00003,2025-08-01,0.155,28956.24,RP0003
C00003,2025-09-01,0.155,6709.62,RP0003
C00003,2025-10-01,0.155,17792.12,RP0003
C00003,2025-11-01,0.155,8606.01,RP0003
C00003,2025-12-01,0.155,14653.63,RP0003
C00003,2026-01-01,0.155,11767.12,RP0003
C00003,2026-02-01,0.155,11134.63,RP0003
C00003,2026-03-01,0.155,12908.83,RP0003
C00003,2026-04-01,0.155,17680.47,RP0003
C00003,2026-05-01,0.155,14494.73,RP0003
C00003,2026-06-01,0.155,13210.88,RP0003
C00003,2026-07-01,0.155,12449.34,RP0003
C00003,2026-08-01,0.155,10601.55,RP0003
C00004,2024-09-01,0.0567,4062.46,RP0004
